timestamp,interaction_step,episodic_reward,episode_intervention,intervention_rate,policy_freq_hz,policy_freq_90p_hz,is_success,rolling_success_rate_50,rolling_intervention_rate_50,rolling_policy_only_success_20,episode_length,episode_intervention_steps,termination_reason
1.9,100,0.0000,1,0.2874,10.0,9.5,0,0.0000,1.0000,0.0000,87,25,done_other
3.2,200,0.0000,1,0.4000,10.0,9.5,0,0.0000,1.0000,0.0000,85,34,done_other
4.5,300,0.0000,1,0.2308,10.0,9.5,0,0.0000,1.0000,0.0000,91,21,done_other
5.8,400,1.0000,0,0.0000,10.0,9.5,1,0.2500,0.7500,1.0000,66,0,success
7.1,500,0.0000,1,0.6406,10.0,9.5,0,0.2000,0.8000,1.0000,64,41,done_other
8.4,600,0.0000,1,0.1500,10.0,9.5,0,0.1667,0.8333,1.0000,60,9,done_other
9.7,700,0.0000,1,0.3478,10.0,9.5,0,0.1429,0.8571,1.0000,92,32,done_other
11.0,800,1.0000,1,0.0909,10.0,9.5,1,0.2500,0.8750,1.0000,88,8,success
12.3,900,0.0000,1,0.3544,10.0,9.5,0,0.2222,0.8889,1.0000,79,28,done_other
13.6,1000,0.0000,1,0.5698,10.0,9.5,0,0.2000,0.9000,1.0000,86,49,done_other
14.9,1100,0.0000,0,0.0000,10.0,9.5,0,0.1818,0.8182,0.5000,77,0,done_other
16.2,1200,0.0000,1,0.7162,10.0,9.5,0,0.1667,0.8333,0.5000,74,53,done_other
17.5,1300,0.0000,1,0.6515,10.0,9.5,0,0.1538,0.8462,0.5000,66,43,done_other
18.8,1400,0.0000,1,0.3956,10.0,9.5,0,0.1429,0.8571,0.5000,91,36,done_other
20.1,1500,0.0000,1,0.6875,10.0,9.5,0,0.1333,0.8667,0.5000,64,44,done_other
21.4,1600,0.0000,0,0.0000,10.0,9.5,0,0.1250,0.8125,0.3333,96,0,timeout
22.7,1700,0.0000,1,0.1127,10.0,9.5,0,0.1176,0.8235,0.3333,71,8,done_other
23.9,1800,0.0000,0,0.0000,10.0,9.5,0,0.1111,0.7778,0.2500,70,0,done_other
25.2,1900,0.0000,1,0.0769,10.0,9.5,0,0.1053,0.7895,0.2500,65,5,done_other
26.5,2000,0.0000,1,0.6064,10.0,9.5,0,0.1000,0.8000,0.2500,94,57,done_other
27.8,2100,1.0000,1,0.0130,10.0,9.5,1,0.1429,0.8095,0.2500,77,1,success
29.1,2200,0.0000,1,0.2553,10.0,9.5,0,0.1364,0.8182,0.2500,94,24,done_other
30.1,2300,0.0000,1,0.0723,10.0,9.5,0,0.1304,0.8261,0.2500,83,6,done_other
31.1,2400,1.0000,1,0.0306,10.0,9.5,1,0.1667,0.8333,0.2500,98,3,success
32.1,2500,0.0000,1,0.3696,10.0,9.5,0,0.1600,0.8400,0.2500,92,34,done_other
33.0,2600,0.0000,1,0.7733,10.0,9.5,0,0.1538,0.8462,0.2500,75,58,done_other
34.0,2700,1.0000,0,0.0000,10.0,9.5,1,0.1852,0.8148,0.4000,77,0,success
34.7,2800,1.0000,1,0.5670,10.0,9.5,1,0.2143,0.8214,0.4000,97,55,success
35.4,2900,0.0000,1,0.1562,10.0,9.5,0,0.2069,0.8276,0.4000,64,10,done_other
36.1,3000,1.0000,1,0.5495,10.0,9.5,1,0.2333,0.8333,0.4000,91,50,success
36.8,3100,0.0000,0,0.0000,10.0,9.5,0,0.2258,0.8065,0.3333,78,0,done_other
37.5,3200,0.0000,0,0.0000,10.0,9.5,0,0.2188,0.7812,0.2857,94,0,done_other
38.3,3300,1.0000,0,0.0000,10.0,9.5,1,0.2424,0.7576,0.3750,76,0,success
39.6,3400,1.0000,0,0.0000,10.0,9.5,1,0.2647,0.7353,0.4444,66,0,success
40.9,3500,0.0000,0,0.0000,10.0,9.5,0,0.2571,0.7143,0.4000,99,0,timeout
42.1,3600,1.0000,1,0.5667,10.0,9.5,1,0.2778,0.7222,0.4000,90,51,success
43.4,3700,1.0000,1,0.5890,10.0,9.5,1,0.2973,0.7297,0.4000,73,43,success
44.7,3800,0.0000,0,0.0000,10.0,9.5,0,0.2895,0.7105,0.3636,98,0,timeout
46.0,3900,1.0000,0,0.0000,10.0,9.5,1,0.3077,0.6923,0.4167,79,0,success
47.3,4000,0.0000,1,0.6098,10.0,9.5,0,0.3000,0.7000,0.4167,82,50,done_other
48.6,4100,0.0000,0,0.0000,10.0,9.5,0,0.2927,0.6829,0.3846,80,0,done_other
49.9,4200,1.0000,1,0.3372,10.0,9.5,1,0.3095,0.6905,0.3846,86,29,success
51.2,4300,0.0000,0,0.0000,10.0,9.5,0,0.3023,0.6744,0.3571,88,0,done_other
52.5,4400,1.0000,0,0.0000,10.0,9.5,1,0.3182,0.6591,0.4000,82,0,success
53.8,4500,0.0000,0,0.0000,10.0,9.5,0,0.3111,0.6444,0.3750,67,0,done_other
55.1,4600,0.0000,0,0.0000,10.0,9.5,0,0.3043,0.6304,0.3529,95,0,timeout
56.4,4700,0.0000,0,0.0000,10.0,9.5,0,0.2979,0.6170,0.3333,74,0,done_other
57.7,4800,1.0000,1,0.6024,10.0,9.5,1,0.3125,0.6250,0.3333,83,50,success
59.0,4900,1.0000,1,0.6145,10.0,9.5,1,0.3265,0.6327,0.3333,83,51,success
60.3,5000,0.0000,1,0.2111,10.0,9.5,0,0.3200,0.6400,0.3333,90,19,done_other
61.6,5100,0.0000,0,0.0000,10.0,9.5,0,0.3200,0.6200,0.3158,71,0,done_other
62.9,5200,1.0000,0,0.0000,10.0,9.5,1,0.3400,0.6000,0.3500,71,0,success
64.2,5300,1.0000,0,0.0000,10.0,9.5,1,0.3600,0.5800,0.3500,66,0,success
65.5,5400,1.0000,0,0.0000,10.0,9.5,1,0.3600,0.5800,0.4000,79,0,success
66.9,5500,1.0000,0,0.0000,10.0,9.5,1,0.3800,0.5600,0.4500,64,0,success
68.2,5600,1.0000,0,0.0000,10.0,9.5,1,0.4000,0.5400,0.5000,79,0,success
69.5,5700,0.0000,0,0.0000,10.0,9.5,0,0.4000,0.5200,0.4500,61,0,done_other
70.8,5800,0.0000,0,0.0000,10.0,9.5,0,0.3800,0.5000,0.4500,71,0,done_other
72.1,5900,1.0000,0,0.0000,10.0,9.5,1,0.4000,0.4800,0.5000,95,0,success
